iso_code,country,year,co2_per_capita,co2_growth_rate,coal_share,renewables_share,anomaly_score,is_anomaly
CUW,Curacao,2016,36.97,-15.398254228041452,12.571496770996148,0.0,-0.05075170887103164,1
CUW,Curacao,2017,29.482,-19.909721102692245,12.571496770996148,0.0,-0.008989722629375918,1
EST,Estonia,1990,23.503,1.9077901430842648,66.20874654527718,1.6718148810491584,-0.03702839086320553,1
EST,Estonia,1991,21.806,-7.50826423887715,66.05243884575948,1.8338948293540227,-0.04637648196262234,1
EST,Estonia,1992,15.85,-28.481031199648456,72.89558841600787,1.556547740957683,-0.03930258449209201,1
EST,Estonia,1993,12.918,-20.39896776307705,69.92744300931406,1.281325580198626,-0.004761960053575209,1
EST,Estonia,2007,14.866,21.24346027497264,71.54039136979428,3.266432513798293,-0.012028539772463542,1
EST,Estonia,2008,13.324,-10.612142498745602,69.16643278136401,3.6486107213022905,-0.02663923817644709,1
EST,Estonia,2010,14.244,31.65567511280807,75.20168731874506,1.84023200632744,-0.026951383822541697,1
EST,Estonia,2011,14.275,-0.0896388083311383,74.84694954612624,2.411864048976156,-0.0003552356064757678,1
EST,Estonia,2013,14.898,10.545577388660554,74.01446470408474,3.5754303758785966,-0.0033309441527410444,1
EST,Estonia,2016,13.248,10.475285171102655,73.21172488957724,1.4455343314403706,-0.03323219539662503,1
EST,Estonia,2019,9.261,-30.970170215156443,63.28125,3.0517578125,-0.003520508222447649,1
EST,Estonia,2023,6.396,-26.9262911582818,56.884720951509614,0.6747483989020964,-0.02058652414048867,1
GAB,Gabon,1990,4.559,1.9077901430842648,12.571496770996148,76.56633221850613,-0.00851639100771684,1
GAB,Gabon,1991,4.473,0.8249721293199563,12.571496770996148,76.0061919504644,-0.006778277290785395,1
GAB,Gabon,1992,4.735,8.735072976559044,12.571496770996148,74.88305877567623,-0.013424440753360689,1
GAB,Gabon,1993,4.665,1.179581045352851,12.571496770996148,74.15075376884423,-0.004167241311572534,1
GAB,Gabon,1994,4.149,-8.703517587939691,12.571496770996148,80.1629238221048,-0.021195277289068004,1
GAB,Gabon,1995,4.648,14.927344782034346,12.571496770996148,78.5632183908046,-0.027506770109510414,1
GAB,Gabon,1996,5.109,12.758620689655189,12.571496770996148,78.64424057084608,-0.023627352870858154,1
GAB,Gabon,1997,4.678,-6.099218484539581,12.571496770996148,77.00379952958205,-0.016063352499137373,1
GAB,Gabon,1998,5.325,16.75411615704723,12.571496770996148,77.49883774988378,-0.03063825319784641,1
GAB,Gabon,1999,4.838,-6.803037346970397,12.571496770996148,78.53342201529765,-0.016866596459984784,1
