year,prophet_co2,prophet_lower,prophet_upper,lstm_co2,lstm_lower,lstm_upper,arima_co2,arima_lower,arima_upper,forecast_co2,forecast_co2_lower,forecast_co2_upper,model_used,iso_code,country,forecast_temp_anomaly,forecast_temp_lower,forecast_temp_upper,last_historical_year,last_co2,last_co2_per_capita
2029,770.4527557187879,725.1669937419703,814.4819094167319,678.9085330303551,635.8429533680321,721.9741126926781,691.9449906097508,566.2167391911747,817.6732420283269,727.9397587694205,663.0984200107869,792.1527933886173,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.48601104881494706,0.3143609013188334,0.6530325345002317,2024,692.133,20.379
2030,781.5520253478741,734.325105821682,831.9622740156432,678.0560919137879,634.9905122514649,721.1216715761109,691.9449906098205,554.2754400622016,829.6145411574394,733.2762833048391,664.4790409892576,803.6651901912091,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.511690773872742,0.35608454141698903,0.6763601279491342,2024,692.133,20.379
2031,792.65129497696,741.5864937529442,841.3482834401563,678.1264482642237,635.0608686019007,721.1920279265466,691.9449906098196,543.29029982872,840.5996813909192,738.8435072069908,665.3810389841273,811.1220690494446,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.5373704989305369,0.38032067456481233,0.6979752691872981,2024,692.133,20.379
2032,803.750564606046,752.3429209849726,852.9520571275822,678.0738434871946,635.0082638248716,721.1394231495176,691.9449906098196,533.0628675296414,850.8271136899978,744.3799908272765,668.1892433311145,819.4676627736699,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.5630502239883317,0.40246216893536096,0.7309589202957162,2024,692.133,20.379
2033,814.88024319302,762.7999731000737,872.2904354139959,678.054771716681,634.989192054358,721.120351379004,691.9449906098196,523.4551067066443,860.4348745129948,749.9400621781351,671.0110612402873,831.5340241799977,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.5888003044572439,0.4337913702025986,0.7497248864369677,2024,692.133,20.379
2034,825.9795128221059,772.6116037117248,884.1080932169886,677.9841107053744,634.9185310430514,721.0496903676974,691.9449906098196,514.3664082274105,869.5235729922287,755.4720317398514,673.6270366734778,839.6973624484758,Prophet+LSTM+ARIMA,SAU,Saudi Arabia,0.6144800295150387,0.45013785872180284,0.7791470849533273,2024,692.133,20.379
2025,22.04285387256883,18.772486959963825,25.171430982371263,17.852745772351454,15.50967880641384,20.19581273828907,17.799390721104693,15.210450888455886,20.3883305537535,19.934461059648452,17.066275903699342,22.731751314196277,Prophet+LSTM+ARIMA,SDN,Sudan,0.3832217931726503,0.2202730947878225,0.5461162636911738,2024,17.795,0.353
2026,22.616049028082408,19.294133617746567,25.69063696338162,17.97579816936053,15.632731203422916,20.318865135298147,17.799634751887215,14.035200060943398,21.564069442831034,20.25188274435314,17.064049624964863,23.316052126223106,Prophet+LSTM+ARIMA,SDN,Sudan,0.4089015182304452,0.24552822391782106,0.565745810368102,2024,17.795,0.353
2027,23.189244183595978,19.755902794965976,26.37609646736542,18.09006325021761,15.746996284279996,20.433130216155227,17.79964831481262,13.14313656131052,22.456160068314723,20.567049983055547,17.100484608880617,23.910370804800195,Prophet+LSTM+ARIMA,SDN,Sudan,0.4345812432882401,0.26844936713472756,0.5978818618181819,2024,17.795,0.353
2028,23.76243933910955,20.52059789821338,26.794982284100225,18.152082506266822,15.809015540329208,20.49514947220444,17.799649068623037,12.396162088951101,23.203136048294972,20.86915256327724,17.31159335642677,24.322062522174967,Prophet+LSTM+ARIMA,SDN,Sudan,0.460260968346035,0.2943489758972844,0.6132701831914098,2024,17.795,0.353
