iso_code,country,year,metric,value,z_score,mean,std
QAT,Qatar,2003,co2_per_capita,62.618,7.936236249770252,5.2139107981220665,7.233162848893232
AGO,Angola,2003,renewables_share,53.94074582475407,4.11776196721354,6.3148645278568925,11.565962694323797
CMR,Cameroon,2003,renewables_share,41.80543382997372,3.068535688735574,6.3148645278568925,11.565962694323797
COD,Democratic Republic of Congo,2003,renewables_share,56.727099236641216,4.358671737158986,6.3148645278568925,11.565962694323797
COG,Congo,2003,renewables_share,75.13812154696133,5.950499654722272,6.3148645278568925,11.565962694323797
GAB,Gabon,2003,renewables_share,78.80225318707383,6.26730265132114,6.3148645278568925,11.565962694323797
GNQ,Equatorial Guinea,2003,renewables_share,68.370607028754,5.3653763323438755,6.3148645278568925,11.565962694323797
NGA,Nigeria,2003,renewables_share,45.56633010096971,3.393705012759221,6.3148645278568925,11.565962694323797
TGO,Togo,2003,renewables_share,41.10803324099723,3.00823801984211,6.3148645278568925,11.565962694323797
ABW,Aruba,2004,co2_per_capita,28.063,3.145572026392781,5.278737089201878,7.243281260014962
CUW,Curacao,2004,co2_per_capita,34.157,3.986903431489621,5.278737089201878,7.243281260014962
KWT,Kuwait,2004,co2_per_capita,30.526,3.485611286444228,5.278737089201878,7.243281260014962
QAT,Qatar,2004,co2_per_capita,61.344,7.740312835882106,5.278737089201878,7.243281260014962
AGO,Angola,2004,renewables_share,55.64174894217207,4.298547335069694,6.325682489407807,11.472728484439193
COD,Democratic Republic of Congo,2004,renewables_share,50.93688362919132,3.888456107044722,6.325682489407807,11.472728484439193
COG,Congo,2004,renewables_share,75.82417582417582,6.057712725358306,6.325682489407807,11.472728484439193
GAB,Gabon,2004,renewables_share,76.83996241778891,6.14625195950743,6.325682489407807,11.472728484439193
GNQ,Equatorial Guinea,2004,renewables_share,41.12758676877953,3.0334461698953827,6.325682489407807,11.472728484439193
NGA,Nigeria,2004,renewables_share,45.76356858532887,3.4375332903076936,6.325682489407807,11.472728484439193
TGO,Togo,2004,renewables_share,42.832568807339456,3.182057900825164,6.325682489407807,11.472728484439193
TLS,East Timor,2004,renewables_share,64.58752515090544,5.07829002843743,6.325682489407807,11.472728484439193
ABW,Aruba,2005,co2_per_capita,28.81,3.2712292233979574,5.287399061032865,7.190752873787689
CUW,Curacao,2005,co2_per_capita,33.514,3.9254027268634157,5.287399061032865,7.190752873787689
KWT,Kuwait,2005,co2_per_capita,33.358,3.9037081974117545,5.287399061032865,7.190752873787689
QAT,Qatar,2005,co2_per_capita,57.767,7.298206719114211,5.287399061032865,7.190752873787689
TTO,Trinidad and Tobago,2005,co2_per_capita,28.257,3.194324897841751,5.287399061032865,7.190752873787689
AGO,Angola,2005,renewables_share,61.11652693832456,4.988731495492459,6.245962798790048,10.998901061144002
CMR,Cameroon,2005,renewables_share,41.09513274336284,3.168422895236782,6.245962798790048,10.998901061144002
COD,Democratic Republic of Congo,2005,renewables_share,44.86226497595103,3.510923678873831,6.245962798790048,10.998901061144002
COG,Congo,2005,renewables_share,78.01011029411765,6.524665245771688,6.245962798790048,10.998901061144002
GAB,Gabon,2005,renewables_share,73.0355134179656,6.072383981625592,6.245962798790048,10.998901061144002
GNQ,Equatorial Guinea,2005,renewables_share,41.057041572671615,3.1649597155536964,6.245962798790048,10.998901061144002
NGA,Nigeria,2005,renewables_share,40.396986209745634,3.1049486872467167,6.245962798790048,10.998901061144002
TGO,Togo,2005,renewables_share,45.52845528455285,3.5714924852389762,6.245962798790048,10.998901061144002
TLS,East Timor,2005,renewables_share,45.17133956386294,3.539024176022931,6.245962798790048,10.998901061144002
ABW,Aruba,2006,co2_per_capita,28.42,3.1143180856448915,5.381600938967136,7.3975741807575295
CUW,Curacao,2006,co2_per_capita,34.655,3.9571619487342806,5.381600938967136,7.3975741807575295
KWT,Kuwait,2006,co2_per_capita,32.233,3.629757323810062,5.381600938967136,7.3975741807575295
QAT,Qatar,2006,co2_per_capita,61.421,7.5753750745483295,5.381600938967136,7.3975741807575295
TTO,Trinidad and Tobago,2006,co2_per_capita,31.433,3.5216137647929795,5.381600938967136,7.3975741807575295
AGO,Angola,2006,renewables_share,47.15077282006416,3.8871890653468846,6.309536006712859,10.506624742654939
CMR,Cameroon,2006,renewables_share,38.75318993802406,3.0879235459505856,6.309536006712859,10.506624742654939
COD,Democratic Republic of Congo,2006,renewables_share,41.836734693877546,3.381409306733006,6.309536006712859,10.506624742654939
COG,Congo,2006,renewables_share,77.26702883409945,6.753595428159948,6.309536006712859,10.506624742654939
GAB,Gabon,2006,renewables_share,68.73534187263215,5.941566144689849,6.309536006712859,10.506624742654939
GNQ,Equatorial Guinea,2006,renewables_share,39.98703823720026,3.2053588145927603,6.309536006712859,10.506624742654939
NGA,Nigeria,2006,renewables_share,40.275480870617216,3.2328122204659073,6.309536006712859,10.506624742654939
TGO,Togo,2006,renewables_share,45.303131245836106,3.711334152900361,6.309536006712859,10.506624742654939
TLS,East Timor,2006,renewables_share,43.217665615141954,3.512843611763249,6.309536006712859,10.506624742654939
PRK,North Korea,2006,coal_share,93.9635026913483,3.0246238243400247,21.342117891464532,24.010055139908122
ABW,Aruba,2007,co2_per_capita,29.205,3.3293968189590992,5.393272300469484,7.151964453121272
CUW,Curacao,2007,co2_per_capita,38.72,4.659800523055734,5.393272300469484,7.151964453121272
KWT,Kuwait,2007,co2_per_capita,30.821,3.555348724983289,5.393272300469484,7.151964453121272
QAT,Qatar,2007,co2_per_capita,49.255,6.132822385657736,5.393272300469484,7.151964453121272
TTO,Trinidad and Tobago,2007,co2_per_capita,33.371,3.9118941212467067,5.393272300469484,7.151964453121272
AGO,Angola,2007,renewables_share,40.89720263816238,3.5099261923824825,6.244568985125669,9.872752802677898
COD,Democratic Republic of Congo,2007,renewables_share,42.012962256957685,3.622940226167737,6.244568985125669,9.872752802677898
COG,Congo,2007,renewables_share,72.48180324019724,6.709094776191024,6.244568985125669,9.872752802677898
GAB,Gabon,2007,renewables_share,62.54466057959508,5.702572800080491,6.244568985125669,9.872752802677898
GNQ,Equatorial Guinea,2007,renewables_share,44.63316406933988,3.8883375135050113,6.244568985125669,9.872752802677898
NGA,Nigeria,2007,renewables_share,39.40245831812096,3.3585252255076723,6.244568985125669,9.872752802677898
TGO,Togo,2007,renewables_share,39.881344759393535,3.407031093206769,6.244568985125669,9.872752802677898
TLS,East Timor,2007,renewables_share,36.45833333333333,3.0603181252560523,6.244568985125669,9.872752802677898
ABW,Aruba,2008,co2_per_capita,27.157,3.153508477699278,5.353291079812206,6.914111401436677
BHR,Bahrain,2008,co2_per_capita,26.344,3.0359228686749473,5.353291079812206,6.914111401436677
CUW,Curacao,2008,co2_per_capita,36.975,4.5735029542071235,5.353291079812206,6.914111401436677
KWT,Kuwait,2008,co2_per_capita,31.848,3.8319759954522112,5.353291079812206,6.914111401436677
QAT,Qatar,2008,co2_per_capita,43.359,5.496832016951682,5.353291079812206,6.914111401436677
TTO,Trinidad and Tobago,2008,co2_per_capita,32.39,3.910366401468432,5.353291079812206,6.914111401436677
AGO,Angola,2008,renewables_share,38.72,3.529490917555774,6.048738530640446,9.256649820757973
COD,Democratic Republic of Congo,2008,renewables_share,37.20670391061452,3.3660088674957276,6.048738530640446,9.256649820757973
COG,Congo,2008,renewables_share,69.78922716627635,6.885913356330958,6.048738530640446,9.256649820757973
GAB,Gabon,2008,renewables_share,63.56200037181632,6.21318327416932,6.048738530640446,9.256649820757973
GNQ,Equatorial Guinea,2008,renewables_share,39.655754303071205,3.630580871393369,6.048738530640446,9.256649820757973
NGA,Nigeria,2008,renewables_share,36.64743493392224,3.3055907910294318,6.048738530640446,9.256649820757973
PRK,North Korea,2008,coal_share,92.69686886784405,3.013804444369688,20.944187205507713,23.808008444735968
ABW,Aruba,2009,co2_per_capita,26.526,3.222609363157179,5.112788732394367,6.644681019181048
ARE,United Arab Emirates,2009,co2_per_capita,25.21,3.0245562141495546,5.112788732394367,6.644681019181048
CUW,Curacao,2009,co2_per_capita,37.58,4.8861956162956925,5.112788732394367,6.644681019181048
